,0
Turbine_Voltage,665
Turbine_Power,562
Gas_Value,551
Sound_Level,516
Turbine_Current,478
Wind_Speed,469
Ambient_Temperature,456
Gearbox_Temperature,423
Nacelle_Temperature,365
Vibration_Value,337
Wind_Direction,217
Line_Sensor,0
