iter	Logloss
0	0.6130181871
1	0.5360599516
2	0.4660859717
3	0.4076337926
4	0.3653158601
5	0.3267273452
6	0.2933819258
7	0.2698031223
8	0.2467094216
9	0.2219343006
10	0.2054649031
11	0.193434159
12	0.1811589335
13	0.1701097374
14	0.1573370877
15	0.1484129803
16	0.1394991612
17	0.1297233289
18	0.1237984448
19	0.1185765827
20	0.1135692255
21	0.1080754639
22	0.1032539967
23	0.09811329036
24	0.095365665
25	0.09157572604
26	0.09053316521
27	0.08776753552
28	0.08488334783
29	0.08289562858
30	0.07993325829
31	0.07850097136
32	0.07740009234
33	0.07658707313
34	0.07535161586
35	0.07493274876
36	0.07316560393
37	0.07135720706
38	0.06907638461
39	0.06761765799
40	0.06637817101
41	0.06558044524
42	0.06492486982
43	0.06478884632
44	0.06473040839
45	0.06408876124
46	0.06326152171
47	0.06203038651
48	0.0608361629
49	0.06019707255
50	0.05976687699
51	0.0593508814
52	0.05878096374
53	0.05779054288
54	0.0576572871
55	0.05648612581
56	0.05549941874
57	0.05483922235
58	0.05472713979
59	0.05464458466
60	0.05453851468
61	0.05420247182
62	0.05294703921
63	0.05212939477
64	0.05111391883
65	0.05084716233
66	0.05027331844
67	0.04968788914
68	0.0493747214
69	0.04842686729
70	0.04789731942
71	0.04729821501
72	0.04663998948
73	0.04642633635
74	0.04598935688
75	0.04531635427
76	0.04470577112
77	0.04448065232
78	0.0441275816
79	0.04346500832
80	0.04314922451
81	0.04272024186
82	0.04255960305
83	0.04181631361
84	0.04146648866
85	0.04100432283
86	0.04084299506
87	0.04007784647
88	0.03982459762
89	0.0397037779
90	0.03948935526
91	0.03922764795
92	0.03873749399
93	0.03824090836
94	0.03761595203
95	0.03727818143
96	0.03685579914
97	0.03670988636
98	0.03625856379
99	0.03619271498
100	0.03591920647
101	0.03557429213
102	0.03547969026
103	0.03521053437
104	0.03488136994
105	0.03429974835
106	0.03383961295
107	0.03350892198
108	0.03339568424
109	0.033229379
110	0.03301869478
111	0.03247950379
112	0.03212567816
113	0.03193342526
1114	0.03107093686
115	0.03092678616
116	0.03073716847
117	0.03039683104
118	0.03027397937
119	0.03003004662
120	0.02982047897
121	0.02972624604
122	0.02961613161
123	0.02910428233
124	0.02869677893
125	0.02851082399
126	0.02832067598
127	0.02799671087
128	0.02780088822
129	0.0275696769
130	0.02744471882
131	0.02709074883
132	0.02698682538
133	0.02673662689
134	0.02666873093
135	0.02639603296
136	0.02625373764
137	0.02611044944
138	0.02611044944
139	0.02580304507
140	0.0256606525
141	0.02545662698
142	0.0252566678
143	0.02500841586
144	0.02492387406
145	0.02464723314
146	0.02459418781
147	0.02442610013
148	0.02430288043
149	0.02420481183
150	0.02420481183
151	0.02418095812
152	0.02396916401
153	0.02355419898
154	0.02346577015
155	0.02338924007
156	0.02313129669
157	0.02283977566
158	0.02239913953
159	0.02197822421
160	0.0218787789
161	0.02169475744
162	0.02149186247
163	0.02141410215
164	0.02112650157
165	0.02100795329
166	0.02090797643
167	0.02088760464
168	0.02072283384
169	0.02043230386
170	0.02028691959
171	0.01990379172
172	0.01984955749
173	0.01962051155
174	0.01955336868
175	0.01943884449
176	0.01936764532
177	0.01915912768
178	0.01889632172
179	0.01885211567
180	0.01877145998
181	0.01854653781
182	0.01826366731
183	0.01818972625
184	0.01801998346
185	0.01792229901
186	0.0176833033
187	0.017523916
188	0.01744775638
189	0.01729122159
190	0.01723722989
191	0.01711232773
192	0.01695722467
193	0.01679039731
194	0.01665173859
195	0.0165557606
196	0.01638976019
197	0.01625093402
198	0.01616488026
199	0.01601665259
200	0.01578909915
201	0.01569824662
202	0.015570154
203	0.01540564701
204	0.01528867967
205	0.01517227093
206	0.01502677147
207	0.0149062666
208	0.01481434522
209	0.01476316106
210	0.01462715336
211	0.01452008594
212	0.01437684789
213	0.01422739242
214	0.0140069037
215	0.01393895487
216	0.01373897046
217	0.01364171057
218	0.01358329665
219	0.01352017757
220	0.01349159895
221	0.01344064302
222	0.01330769328
223	0.01318456292
224	0.01314777565
225	0.01300353894
226	0.01289755345
227	0.01281713026
228	0.01276845549
229	0.01268530864
230	0.0125940811
231	0.0125069445
232	0.01242425869
233	0.01236474187
234	0.01226783665
235	0.01218935849
236	0.01208647411
237	0.01205041106
238	0.01200498875
239	0.01190518452
240	0.01179728924
241	0.0116112723
242	0.01156800412
243	0.01152632357
244	0.01147586787
245	0.01138040167
246	0.01131193497
247	0.01128826026
248	0.01120347655
249	0.01116316268
250	0.01108586826
251	0.0110220979
252	0.01094759156
253	0.01089772576
254	0.0108100868
255	0.01072892298
256	0.01068117787
257	0.01064715528
258	0.01061505797
259	0.01053940984
260	0.01051650585
261	0.01048628033
262	0.01043320766
263	0.01041407278
264	0.01035275316
265	0.010283365
266	0.01024199839
267	0.01022440282
268	0.01017137817
269	0.01017135355
270	0.01014770316
271	0.01008692298
272	0.0100076267
273	0.009941437504
274	0.009941411064
275	0.009941411064
276	0.009941411064
277	0.009941408329
278	0.009941408329
279	0.009941413191
280	0.009941413191
281	0.009920908282
282	0.009773622127
283	0.009754944334
284	0.00975490361
285	0.009754490594
286	0.009754081225
287	0.009754060863
288	0.00975401558
289	0.009702504099
290	0.009702503187
291	0.009702461855
292	0.009702444836
293	0.009702391044
294	0.009702368555
295	0.009702373417
296	0.009702394083
297	0.00970239299	0298	0.0097023300	0.299	0.009702301	0.0300	0.00970302	0.01301	0.0097303	0.011302	0.009304	0.0110303	0.00305	0.01101304	0.306	0.0110137305	0307	0.01101367306	308	0.010907987307309	0.010907952930310	0.010907952993311	0.01090795299
312	0.01090795299
313	0.01090795299
314	0.01090795299
315	0.01090795299
316	0.01090795299
317	0.01090795299
318	0.01090795299
319	0.01090795299
320	0.01090795299
321	0.01090795299
322	0.01090795299
323	0.01090795299
324	0.01090795299
325	0.01090795299
326	0.01090795299
327	0.01090795299
328	0.01086419977
329	0.0108641633
330	0.01084722752
331	0.01070881163
332	0.01068881091
333	0.01065221419
334	0.01063601936
335	0.01061740721
336	0.01061230058
337	0.01061225804
338	0.01059688194
339	0.01050025814
340	0.01041087077
341	0.01041082245
342	0.01041082245
343	0.01041082245
344	0.01041082245
345	0.01041082245
346	0.01041082245
347	0.01041082245
348	0.01041082245
349	0.01041082245
350	0.01041082245
351	0.01041082245
352	0.01041082245
353	0.01041082245
354	0.01041082245
355	0.01041082245
356	0.01041082245
357	0.01041082245
358	0.01041082245
359	0.01041082245
360	0.01041082245
361	0.01041082245
362	0.01041082245
363	0.01041082245
364	0.01041082245
365	0.01041082245
366	0.01041082245
367	0.01041082245
368	0.01041082245
369	0.01041082245
370	0.01039286705
371	0.01039288498
372	0.01033448808
373	0.01031843274
374	0.01030850486
375	0.01030840123
376	0.01028616129
377	0.01019916024
378	0.0101532851
379	0.01014619454
380	0.01009727634
381	0.01009730065
382	0.01009044532
383	0.01008369727
384	0.01007725465
385	0.01006022618
386	0.01006024502
387	0.009895949549
388	0.009895962921
389	0.009895944687
390	0.009858600648
391	0.009858557797
392	0.009823936805
393	0.009755842089
394	0.009747425563
395	0.009718427847
396	0.009718424503
397	0.009718411739
398	0.009718399887
399	0.009718432709
400	0.009670331419
401	0.009597212741
402	0.009556536921
403	0.00955653996
404	0.009556490726
405	0.009556507441
406	0.009556497412
407	0.009556470972
408	0.009556475227
409	0.009556419307
410	0.009556435414
411	0.009513865921
412	0.009513818511
413	0.009467437664
414	0.009449014244
415	0.009416845211
416	0.009416839133
417	0.009416841564
418	0.009396819874
419	0.009388036223
420	0.009388019812
421	0.009387953863
422	0.009369001638
423	0.00935923301
424	0.009342958549
425	0.009342958549
426	0.009342967666
427	0.009303230021
428	0.009303214521
429	0.009284914186
430	0.009284959165
431	0.009233031628
432	0.009233046216
433	0.009146183444
434	0.009073992
435	0.009073981971
436	0.009043505725
437	0.009043480804
438	0.008987183933
439	0.008987191834
440	0.008981823237
441	0.008981828708
442	0.008941426104
443	0.008913440717
444	0.008913424609
445	0.008913368689
446	0.008913356229
447	0.008913341034
448	0.008913351063
449	0.008913309731
450	0.008913319152
451	0.008913297878
452	0.008913279643
453	0.008913269614
454	0.008913254115
455	0.008913258674
456	0.008913173578
457	0.008913146834
458	0.008913156863
459	0.00891310459
460	0.00891314653
461	0.008913088483
462	0.008913121002
463	0.008913121002
464	0.008913121002
