iter	Passed	Remaining
420	2914	546
421	2917	539
422	2920	531
423	2922	523
424	2926	516
425	2928	508
426	2931	501
427	2933	493
428	2936	485
429	2940	478
430	2943	471
431	2947	463
432	2949	456
433	2953	449
434	2956	441
435	2959	434
436	2963	427
437	2966	419
438	2969	412
439	2971	405
440	2974	397
441	2976	390
442	2979	383
443	2981	376
444	2984	368
445	2987	361
446	2990	354
447	2993	347
448	2995	340
449	2998	333
450	3001	326
451	3003	318
452	3006	311
453	3009	304
454	3012	297
455	3015	290
456	3017	283
457	3020	276
458	3022	270
459	3025	263
460	3028	256
461	3033	249
462	3038	242
463	3041	236
464	3044	229
465	3049	222
466	3052	215
467	3058	209
468	3060	202
469	3063	195
470	3065	188
471	3069	182
472	3072	175
473	3075	168
474	3077	161
475	3474	3227476	3475	3230477	3476	3232478	3477	3235479	3478	3238	141
479	3241	135
480	3243	128
481	3246	121
482	3249	114
483	3251	107
484	3254	100
485	3256	93
486	3259	87
487	3262	80
488	3265	73
489	3267	66
490	3270	59
491	3273	53
492	3276	46
493	3279	39
494	3282	33
495	3285	26
496	3287	19
497	3290	13
498	3292	6
499	3295	0
